23,23,27.889,38.959,40.884,47.569,73.789,76.128,75.618,82.574,68.245,23,23,30.141,38.494,28.891,53.148,75.084,78.366,76.05,82.183,67.731,23,23,18.475,28.153,30.71,51.524,69.429,76.539,90.665,81.18,60.642
24,24,36.429,39.573,40.896,55.758,76.671,78.088,86.542,93.49,80.142,24,24,40.479,38.727,36.05,50.368,71.49,76.43,86.014,94.663,80.892,24,24,26.498,28.497,31.86,53.567,71.286,81.442,97.017,93.624,72.01
25,25,35.162,28.609,32.91,50.834,78.538,79.516,87.134,94.219,77.867,25,25,38.21,33.763,32.841,45.9,70.962,74.144,86.488,93.01,76.468,25,25,25.761,21.875,31.837,49.449,70.041,80.221,99.583,91.57,69.937
26,26,23.813,29.792,34.832,47.686,72.496,74.429,76.467,74.634,57.157,26,26,33.446,31.185,35.337,49.072,71.999,75.591,73.539,74.385,56.785,26,26,15.902,23.629,34.852,48.466,67.755,74.734,88.381,77.204,54.761
27,27,23.381,30.078,34.987,48.838,64.952,67.606,70.349,68.606,51.555,27,27,28.591,24.541,40.124,51.728,67.778,71.996,66.424,70.166,51.93,27,27,17.519,21.341,29.818,48.041,65.24,70.419,83.648,70.752,49.05
28,28,18.587,28.529,37.533,54.062,67.811,69.107,69.187,64.781,47.669,28,28,28.657,27.076,38.824,48.494,68.117,73.697,67.33,64.984,48.849,28,28,12.244,18.276,32.928,46.406,65.245,70.024,80.99,70.4,47.647
29,29,30.533,34.094,33.898,49.474,62.568,64.128,69.283,71.673,69.811,29,29,31.61,36.463,33.533,46.995,65.374,72.539,68.151,73.615,68.907,29,29,17.319,24.314,32.051,47.864,65.292,69.945,80.498,72.464,65.463
30,30,35.984,34.806,35.635,50.81,64.753,66.556,73.039,69.401,64.548,30,30,34.282,34.392,39.871,49.237,62.172,67.108,70.696,70.921,65.614,30,30,22.482,31.408,38.685,48.337,62.479,67.593,86.374,75.423,61.962
31,31,28.987,35.584,40.692,49.433,65.772,66.088,71.79,74.246,62.968,31,31,40.108,43.63,35.831,51.694,63.33,68.442,71.724,69.421,63.728,31,31,23.883,33.516,37.771,47.445,62.426,69.834,85.063,73.733,60.456
32,32,29.824,32.169,41.88,50.137,66.38,66.759,75.842,68.106,52.094,32,32,38.578,38.451,40.976,52.705,65.644,71.689,74.122,68.747,53.131,32,32,24.925,27.194,37.981,50.529,63.431,69.438,90.221,78.694,56.561
33,33,23.888,26.413,43.868,56.541,63.74,65.572,75.194,67.242,50.597,33,33,37.795,42.187,40.532,56.196,59.738,63.277,73.155,66.934,49.444,33,33,25.249,28.691,35.62,45.832,60.263,66.362,89.424,77.474,54.929
34,34,26.146,33.912,36.023,48.93,59.926,65.865,83.104,77.422,58.876,34,34,33.603,39.101,37.958,50.027,59.432,65.238,79.571,79.318,58.964,34,34,16.739,26.629,36.834,49.625,62.561,72.18,96.889,84.467,61.943
35,35,30.593,32.762,31.931,41.933,59.872,63.96,79.782,74.636,57.544,35,35,34.621,43.088,30.817,48.157,58.233,63.426,77.105,74.902,56.291,35,35,13.654,27.71,33.946,44.538,58.081,70.726,93.504,80.657,58.654
36,36,30.049,30.644,38.021,49.613,71.316,75.305,91.993,85.993,67.82,36,36,35.93,39.733,37.693,45.59,64.363,71.899,90.629,87.8,70.058,36,36,17.075,29.672,39.264,54.28,69.388,85.422,103.98,91.157,68.638
37,37,32.608,34.119,36.663,47.383,67.85,74.162,88.476,85.139,68.919,37,37,37.595,38.053,35.44,41.371,63.651,71.848,90.801,89.147,69.849,37,37,27.058,28.101,40.103,48.921,66.187,83.848,105.96,94.269,71.411
38,38,31.917,32.391,38.173,50.282,71.381,76.499,92.086,89.623,71.246,38,38,34.48,35.525,31.541,43.785,65.072,73.847,91.852,90.274,72.755,38,38,23.72,40.159,44.978,54.361,69.967,89.008,106.47,94.316,71.564
39,39,30.965,26.643,39.073,50.313,74.047,78.562,92.808,88.951,71.148,39,39,39.071,35.55,36.7,43.14,68.987,76.022,94.323,90.554,73.002,39,39,29.414,39.329,45.13,54.514,72.043,89.461,109.07,96.192,73.746
40,40,26.622,27.638,34.368,44.683,63.084,73.943,91.145,88.306,69.202,40,40,34.499,29.275,33.939,44.232,65.969,73.905,89.218,88.938,69.701,40,40,31.367,39.877,36.941,44.953,63.8,85.274,105.23,93.341,70.371
41,41,32.835,36.298,34.845,45.138,68.209,72.457,88.283,88.155,69.5,41,41,38.123,38.453,35.317,46.884,65.765,73.194,89.102,88.264,70.022,41,41,31.23,35.67,39.41,49.476,63.958,85.36,105.34,92.981,70.445
42,42,41.384,37.225,31.361,42.361,65.871,67.034,78.991,81.271,60.843,42,42,45.55,40.131,32.623,43.427,60.399,65.355,79.127,80.086,63.126,42,42,35.251,28.324,34.881,43.786,58.136,73.399,92.279,82.382,58.896
43,43,33.439,28.634,31.771,38.771,61.33,64.334,70.764,70.795,52.25,43,43,40.574,37.372,35.145,39.156,61.481,67.533,73.318,69.992,53.057,43,43,25.144,21.379,29.713,37.435,56.982,72.683,90.846,78.237,55.245
44,44,38.528,27.981,29.919,40.897,53.708,58,64.649,61.013,45.908,44,44,43.128,36.044,29.433,36.432,53.907,62.478,65.01,61.97,45.951,44,44,28.812,22.325,31.018,37.531,52.126,68.33,81.242,69.301,47.221
45,45,31.813,26.996,31.658,44.402,57.61,58.777,70.05,60.747,45.833,45,45,37.118,31.984,31.672,36.841,59.261,64.329,67.354,59.822,44.991,45,45,22.961,17.344,29.878,39.42,54.719,70.006,85.414,70.851,49.51
46,46,31.008,25.464,33.166,41.623,59.996,60.957,70.755,60.026,45.455,46,46,34.535,38.513,32.814,39.777,58.552,62.146,67.744,57.992,45.798,46,46,18.318,23.671,32.451,41.204,57.473,70.958,87.057,72.278,50.843
47,47,28.06,26.712,34.697,48.459,68.859,69.782,71.527,60.995,47.577,47,47,37.678,29.785,33.208,42.174,60.204,64.682,69.006,59.769,46.59,47,47,22.642,17.827,30.35,46.288,61.583,71.091,87.339,73.175,51.687
48,48,27.214,26.968,28.076,46.783,67.174,68.724,71.547,61.675,48.087,48,48,32.485,31.509,33.054,42.035,59.799,62.585,71.487,62.16,49.663,48,48,14.024,15.972,30.661,46.544,61.125,75.472,87.452,71.31,49.913
49,49,22.98,22.252,33.141,45.159,65.036,66.276,68.689,60.248,45.955,49,49,32.925,33.745,30.764,41.172,59.419,64.911,68.071,59.528,45.42,49,49,14.909,24.431,32.606,44.559,61.762,70.646,83.717,68.772,47.356
